Unique_Squirrel_Id,Latitude,Longitude,Shift,Date,Age,Location,Specific_Location,Primary_Fur_Color,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
35D-PM-1013-09,40.7937581,-73.95909928,PM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
7F-PM-1012-01,40.77057119,-73.9724064,PM,2018-10-12,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,True,False
18G-PM-1013-01,40.77878726,-73.96613613,PM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,True,True,Burying,False,False,False,False,False,False,False,True
6F-PM-1008-01,40.77013042,-73.97307506,PM,2018-10-08,Adult,Above Ground,,Gray,False,True,False,False,False,,False,False,False,False,False,False,False,False
9F-AM-1013-04,40.77208681,-73.97197067,AM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
38E-AM-1010-09,40.79510444,-73.95621175,AM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
33G-AM-1013-02,40.79054235,-73.95640236,AM,2018-10-13,Adult,Above Ground,shelter in hole in tree,Gray,False,False,True,False,False,,False,False,False,False,False,False,True,True
39G-AM-1018-01,40.79524755,-73.95326201,AM,2018-10-18,Adult,Ground Plane,,Gray,False,False,False,False,False,Dead (Something Ran Over It),False,False,False,False,False,False,False,False
32G-PM-1013-03,40.79044099,-73.95763493,PM,2018-10-13,Juvenile,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
4D-PM-1008-11,40.76863511,-73.97634308,PM,2018-10-08,Adult,Above Ground,on tree facing downward,Cinnamon,False,True,False,False,False,Chased #12,True,False,False,True,False,False,False,True
6H-AM-1008-01,40.76948866,-73.97147891,AM,2018-10-08,Adult,Ground Plane,,Cinnamon,False,False,False,True,False,,False,False,False,False,False,False,False,False
5E-AM-1008-08,40.76978834,-73.97551337,AM,2018-10-08,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,True,False
15D-PM-1017-01,40.77732954,-73.9702349,PM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-AM-1014-03,40.77816584,-73.96860561,AM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,False,True,False,False
39H-PM-1013-02,40.79495985,-73.95221424,PM,2018-10-13,Juvenile,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,True,False,True,False
39C-PM-1006-02,40.79727519,-73.957659,PM,2018-10-06,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
31A-AM-1010-04,40.79157004,-73.96379469,AM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,True,False,False,False
9F-PM-1014-02,40.77238897,-73.97109911,PM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,True,False,,False,False,False,False,False,False,True,False
21G-PM-1007-02,40.78104501,-73.96382703,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,True,False,,False,False,False,True,False,False,False,True
2F-AM-1006-01,40.76700903,-73.9756015,AM,2018-10-06,Adult,Ground Plane,walking along path,Gray,False,False,False,False,True,,False,False,False,False,True,False,True,False
20F-PM-1007-01,40.78091878,-73.96496326,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,True,False,True,False
